book_id,title,price_gbp,rating,in_stock,category_name
11,"1,000 Places to See Before You Die",26.08,5,1,Travel
20,A Time of Torment (Charlie Parker #14),48.35,5,1,Mystery
29,What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,1,Mystery
30,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,1,Mystery
34,The Silkworm (Cormoran Strike #2),23.05,5,1,Mystery
40,The Girl You Lost,12.29,5,1,Mystery
46,A Flight of Arrows (The Pathfinders #2),55.53,5,1,Historical Fiction
48,Mrs. Houdini,30.25,5,1,Historical Fiction
57,The Passion of Dolssa,28.32,5,1,Historical Fiction
59,Voyager (Outlander #3),21.07,5,1,Historical Fiction
